1628841421,12,1,3276,530.67,2136,1140,273,0
1628841422,12,1,3936,407.16,2985,951,328,0
1628841423,12,1,4332,336.64,3286,1046,361,0
1628841425,12,1,2424,322.77,1834,590,202,0
1628841426,12,1,6756,316.14,5178,1578,563,0
1628841427,12,1,3096,313.09,2349,747,258,0
1628841429,12,1,3036,315.75,2393,643,253,0
1628841430,12,1,3132,316.30,2448,684,261,0
1628841431,12,1,3096,315.60,2404,692,258,0
1628841432,12,1,3096,313.89,2404,692,258,0
1628841433,12,1,3096,316.55,2357,739,258,0
1628841434,12,1,3084,316.32,2384,700,257,0
1628841435,12,1,3072,315.45,2332,740,256,0
1628841436,12,1,3084,315.00,2360,724,257,0
1628841437,12,1,3048,315.21,2314,734,254,0
1628841438,12,1,3132,314.99,2305,827,261,0
1628841439,12,1,3108,315.00,2356,752,259,0
1628841440,12,1,3084,315.51,2303,781,257,0
1628841441,12,1,3084,307.02,2289,795,257,0
1628841442,12,1,3096,265.15,2301,795,258,0
1628841443,12,1,3048,253.40,2287,761,254,0
1628841444,12,1,3144,252.93,2338,806,262,0
1628841445,12,1,3084,250.66,2264,820,257,0
1628841446,12,1,3024,250.28,2260,764,252,0
1628841447,12,1,3144,250.17,2352,792,262,0
1628841448,12,1,3096,249.50,2265,831,258,0
1628841449,12,1,3096,250.45,2325,771,258,0
1628841450,12,1,3096,249.40,2287,809,258,0
1628841451,12,1,3096,249.99,2310,786,258,0
1628841452,12,1,3096,249.78,2283,813,258,0
1628841453,12,1,3108,250.21,2321,787,259,0
1628841454,12,1,3096,254.32,2303,793,258,0
1628841455,12,1,3096,297.00,2411,685,258,0
1628841456,12,1,3084,310.76,2368,716,257,0
1628841457,12,1,3108,313.12,2386,722,259,0
1628841458,12,1,3096,314.00,2423,673,258,0
1628841459,12,1,3036,315.56,2330,706,253,0
1628841460,12,1,3144,314.68,2415,729,262,0
1628841461,12,1,3036,315.62,2349,687,253,0
1628841462,12,1,3144,314.47,2423,721,262,0
1628841463,12,1,3036,315.69,2394,642,253,0
1628841464,12,1,3132,315.30,2419,713,261,0
1628841465,12,1,3108,315.05,2357,751,259,0
1628841467,12,1,3036,315.43,1945,1091,253,0
