1629453789,0,0,0,0.00,0,0,0,0
1629453790,0,0,0,0.00,0,0,0,0
1629453791,16,1,192,358.58,183,9,12,0
1629453792,16,1,2896,358.71,2566,330,181,0
1629453793,16,1,3312,360.31,2959,353,207,0
1629453794,16,1,3056,359.69,2712,344,191,0
1629453795,16,1,2992,359.88,2671,321,187,0
1629453796,16,1,3056,359.69,2737,319,191,0
1629453797,16,1,3216,359.67,2888,328,201,0
1629453798,16,1,3056,359.79,2714,342,191,0
1629453799,16,1,3024,359.17,2705,319,189,0
1629453800,16,1,3104,360.35,2756,348,194,0
1629453801,16,1,3008,359.80,2685,323,188,0
1629453802,16,1,3216,359.44,2900,316,201,0
1629453803,16,1,3088,359.83,2737,351,193,0
1629453804,16,1,3104,359.56,2733,371,194,0
1629453964,0,0,0,0.00,0,0,0,0
1629453965,0,0,0,0.00,0,0,0,0
1629453966,16,1,144,360.44,122,22,9,0
1629453967,16,1,3152,359.86,2807,345,197,0
1629453968,16,1,3184,359.59,2817,367,199,0
1629453969,16,1,3088,359.56,2749,339,193,0
1629453970,16,1,3040,360.16,2701,339,190,0
1629453971,16,1,3072,359.71,2722,350,192,0
1629459329,0,0,0,0.00,0,0,0,0
1629459331,0,0,0,0.00,0,0,0,0
1629459332,16,1,144,359.44,142,2,9,0
1629459333,16,1,2880,359.73,2502,378,180,0
1629459334,16,1,3152,359.76,2770,382,197,0
